id,nom,categorie,description,latitude,longitude,note,adresse,ville,place_id,photo_url
25,Festival Mawazine,evenementiel,"Grand festival de musique international organise chaque annee, l'un des plus grands d'Afrique.",34.02,-6.83,,Rabat,Rabat,,
26,Cite Portugaise d'El Jadida,monument,"Ancienne forteresse portugaise classee UNESCO, celebre pour sa citerne voutee aux reflets impressionnants.",33.2544,-8.5064,4.5,El Jadida,El Jadida,,
27,Plage d'El Jadida,plage,Plage centrale de sable fin longeant les remparts de la cite portugaise.,33.25,-8.51,3.9,El Jadida,El Jadida,,
28,Eglise Notre-Dame de l'Assomption,religieux,"Ancienne eglise portugaise situee dans la cite fortifiee, temoignage du passe colonial de la ville.",33.2545,-8.5063,4.1,El Jadida,El Jadida,,
29,Marche aux poissons d'El Jadida,artisanat,Marche portuaire anime ou se vend le poisson frais peche localement.,33.253,-8.509,4.0,El Jadida,El Jadida,,
30,Phare de Sidi Bouafi,monument,Phare offrant une vue degagee sur la cote atlantique et la cite portugaise.,33.245,-8.515,4.0,El Jadida,El Jadida,,
31,Medina d'Essaouira,monument,"Medina fortifiee classee UNESCO, melant influences europeennes et marocaines, ruelles animees et souks.",31.5085,-9.7595,4.6,Essaouira,Essaouira,,
32,Remparts et Skala de la ville,monument,"Remparts fortifies bordes de canons anciens, offrant une vue sur l'ocean et le port.",31.513,-9.77,4.5,Essaouira,Essaouira,,
33,Plage d'Essaouira,plage,"Vaste plage balayee par les vents, tres prisee pour le kitesurf et la planche a voile.",31.5,-9.77,4.2,Essaouira,Essaouira,,
34,Port de peche d'Essaouira,artisanat,"Port coloree ou les pecheurs debarquent leurs prises, entoure de gargotes de poisson grille.",31.51,-9.765,4.3,Essaouira,Essaouira,,
35,Ile de Mogador,nature,"Archipel protege au large d'Essaouira, refuge d'oiseaux marins rares.",31.5,-9.79,4.1,Essaouira,Essaouira,,
36,Galeries d'art de la medina d'Essaouira,art,Concentration de petites galeries exposant peinture et artisanat d'art local.,31.509,-9.76,4.2,Essaouira,Essaouira,,
37,Festival Gnaoua et Musiques du Monde,evenementiel,Festival annuel celebrant la musique gnaoua et ses fusions avec des artistes internationaux.,31.5085,-9.7595,,Essaouira,Essaouira,,
38,Jardin Majorelle,nature,"Jardin botanique aux couleurs vives cree par un peintre francais, celebre pour son bleu emblematique.",31.6415,-8.0033,4.6,Marrakech,Marrakech,,
39,Place Jemaa el-Fna,monument,"Place mythique et vivante, coeur de la medina, animee par conteurs, musiciens et vendeurs.",31.6258,-7.9891,4.5,Marrakech,Marrakech,,
40,Mosquee Koutoubia,religieux,"Plus grande mosquee de Marrakech, reconnaissable a son minaret emblematique du 12e siecle.",31.6238,-7.9936,4.7,Marrakech,Marrakech,,
41,Palais Bahia,monument,"Palais du 19e siecle aux cours et jardins raffines, exemple d'architecture marocaine traditionnelle.",31.6215,-7.9836,4.5,Marrakech,Marrakech,,
42,Souks de Marrakech,artisanat,"Dedale de marches artisanaux proposant tapis, cuir, epices et lampes traditionnelles.",31.63,-7.985,4.3,Marrakech,Marrakech,,
43,Musee Yves Saint Laurent,art,"Musee dedie a l'oeuvre du couturier, adjacent au Jardin Majorelle.",31.641,-8.0025,4.6,Marrakech,Marrakech,,
44,Festival International du Film de Marrakech,evenementiel,Festival de cinema international reunissant chaque annee stars et cineastes du monde entier.,31.63,-8.0,,Marrakech,Marrakech,,
45,Medina de Fes el-Bali,monument,"Plus grande medina pietonne au monde, labyrinthe de ruelles medievales classe UNESCO.",34.0667,-4.9833,4.7,Fes,Fes,,
46,Universite Al Quaraouiyine,religieux,"Fondee au 9e siecle, l'une des plus anciennes universites du monde encore en activite, associee a une mosquee.",34.065,-4.975,4.6,Fes,Fes,,
47,Tanneries Chouara,artisanat,Tanneries traditionnelles a ciel ouvert ou le cuir est teint selon des methodes ancestrales.,34.0658,-4.9738,4.2,Fes,Fes,,
48,Palais Royal de Fes,monument,Palais royal reconnaissable a ses immenses portes en bronze finement ciselees.,34.045,-4.995,4.4,Fes,Fes,,
49,Jardin Jnan Sbil,nature,Jardin historique reamenage offrant une pause verdoyante entre les deux medinas de Fes.,34.055,-4.99,4.3,Fes,Fes,,
50,Festival de Fes des Musiques Sacrees du Monde,evenementiel,Festival annuel reunissant artistes spirituels et musiciens du monde entier dans des lieux historiques.,34.06,-4.98,,Fes,Fes,,
51,Grotte d'Hercule,nature,Grotte naturelle au bord de l'Atlantique dont une ouverture rappelle la forme de l'Afrique.,35.759,-5.917,4.2,Tanger,Tanger,,
52,Kasbah de Tanger,monument,"Ancienne citadelle dominant le detroit de Gibraltar, avec palais et ruelles pittoresques.",35.789,-5.813,4.4,Tanger,Tanger,,
53,Plage de Tanger,plage,"Plage urbaine en arc de cercle face au detroit, bordee de cafes et de promenades.",35.78,-5.81,3.8,Tanger,Tanger,,
54,Medina de Tanger,monument,"Vieille ville aux ruelles blanches surplombant le port, mele influences europeennes et marocaines.",35.787,-5.811,4.1,Tanger,Tanger,,
55,Grand Socco,artisanat,"Grande place marchande a l'entree de la medina, point de rencontre anime de la ville.",35.783,-5.814,4.0,Tanger,Tanger,,
56,Musee de la Kasbah,art,"Musee installe dans l'ancien palais du sultan, presentant l'histoire et les arts de la region.",35.7895,-5.8135,4.3,Tanger,Tanger,,
57,Jazzablanca,evenementiel,"Festival de musique jazz et pop organise chaque ete a Casablanca, reunissant artistes marocains et internationaux.",33.5731,-7.5898,,Casablanca,Casablanca,,
58,Cathedrale du Sacre-Coeur,religieux,"Ancienne cathedrale catholique a l'architecture Art deco et neo-gothique, aujourd'hui reconvertie en espace culturel.",33.592,-7.624,4.3,Casablanca,Casablanca,,
59,Musee Slaoui,art,"Musee installe dans une ancienne demeure, presentant une collection d'art et d'artisanat marocain traditionnel.",33.594,-7.618,4.0,Casablanca,Casablanca,,
60,Musee National de la Ceramique,art,"Musee dedie aux arts de la poterie et de la ceramique traditionnelle marocaine, installe dans la Kasbah des Oudayas.",34.0353,-6.836,4.2,Rabat,Rabat,,
61,Moussem de Moulay Abdellah,evenementiel,"Grand pelerinage annuel et fantasia equestre organise pres d'El Jadida, l'un des plus importants moussems du Maroc.",33.2,-8.55,,El Jadida,El Jadida,,
62,Plage de Sidi Bouzid,plage,"Plage prisee des familles a quelques kilometres d'El Jadida, bordee de falaises et de cafes en terrasse.",33.235,-8.535,4.1,El Jadida,El Jadida,,
63,Dar Souiri,art,"Centre culturel installe dans une ancienne demeure, accueillant expositions d'art et rencontres litteraires.",31.511,-9.768,4.1,Essaouira,Essaouira,,
64,Plage de Sidi Kaouki,plage,"Plage sauvage a quelques kilometres au sud d'Essaouira, tres prisee des surfeurs pour ses vagues regulieres.",31.398,-9.857,4.3,Essaouira,Essaouira,,
65,Maison de la Photographie,art,Musee prive dans la medina exposant des photographies anciennes du Maroc du debut du 20e siecle.,31.6295,-7.984,4.5,Marrakech,Marrakech,,
66,Palmeraie de Marrakech,nature,"Vaste oasis de palmiers dattiers en peripherie de la ville, appreciee pour les balades a velo ou a dos de chameau.",31.67,-7.95,3.9,Marrakech,Marrakech,,
67,Musee Nejjarine des Arts et Metiers du Bois,art,"Musee installe dans un ancien caravanserail, dedie aux arts et savoir-faire traditionnels du travail du bois.",34.064,-4.976,4.4,Fes,Fes,,
68,Festival International du Cinema Mediterraneen de Tanger,evenementiel,"Festival de cinema dedie aux productions des pays du pourtour mediterraneen, organise chaque annee a Tanger.",35.78,-5.805,,Tanger,Tanger,,
69,Plage d'Agadir,plage,"Longue plage de sable fin de plusieurs kilometres bordee d'une promenade animee, tres prisee des familles.",30.413,-9.607,4.2,Agadir,Agadir,,
70,Kasbah Agadir Oufella,monument,"Ruines d'une ancienne citadelle dominant la baie d'Agadir, offrant un panorama sur la ville et l'ocean.",30.433,-9.6,4.3,Agadir,Agadir,,
71,Marina d'Agadir,artisanat,"Port de plaisance moderne borde de boutiques, ateliers d'artisanat et restaurants face aux bateaux.",30.418,-9.616,4.1,Agadir,Agadir,,
72,Vallee des Oiseaux,nature,"Petit parc et jardin zoologique en plein centre-ville, refuge pour de nombreuses especes d'oiseaux.",30.42,-9.598,3.8,Agadir,Agadir,,
73,Musee du Patrimoine Amazigh,art,"Musee presentant l'histoire, les bijoux, tapis et objets traditionnels de la culture amazighe du sud marocain.",30.421,-9.599,4.3,Agadir,Agadir,,
74,Festival Timitar,evenementiel,Festival de musiques amazighes et du monde organise chaque ete a Agadir.,30.42,-9.6,,Agadir,Agadir,,
75,Bab Mansour,monument,"Monumentale porte du 18e siecle finement decoree de zelliges, l'une des plus belles portes du Maroc.",33.895,-5.553,4.6,Meknes,Meknes,,
76,Mausolee Moulay Ismail,religieux,"Mausolee royal abritant le tombeau du sultan fondateur de la ville, accessible aux non-musulmans.",33.896,-5.548,4.5,Meknes,Meknes,,
77,Place El Hedim,artisanat,"Grande place animee face a Bab Mansour, bordee d'echoppes et de marches artisanaux.",33.8945,-5.5535,4.2,Meknes,Meknes,,
78,Salon International de l'Agriculture du Maroc,evenementiel,"Grand salon agricole annuel reunissant exposants marocains et internationaux, l'un des plus importants d'Afrique.",33.88,-5.56,,Meknes,Meknes,,
79,Site archeologique de Volubilis,monument,"Ruines d'une ancienne cite romaine classees UNESCO, celebres pour leurs mosaiques bien conservees, non loin de Meknes.",34.0742,-5.5545,4.6,Meknes,Meknes,,
80,Medina bleue de Chefchaouen,monument,"Vieille ville aux facades peintes dans toutes les nuances de bleu, nichee dans les montagnes du Rif.",35.1688,-5.2636,4.7,Chefchaouen,Chefchaouen,,
81,Cascades d'Akchour,nature,"Chutes d'eau et piscines naturelles au coeur du parc national de Talassemtane, accessibles par un sentier de randonnee.",35.235,-5.15,4.6,Chefchaouen,Chefchaouen,,
82,Musee Ethnographique de la Kasbah,art,"Musee installe dans l'ancienne kasbah, presentant des objets d'art et d'artisanat traditionnels de la region du Rif.",35.168,-5.262,4.2,Chefchaouen,Chefchaouen,,
83,Place Outa el Hammam,artisanat,Place centrale de la medina bordee de cafes et de petites boutiques d'artisanat local.,35.1685,-5.263,4.3,Chefchaouen,Chefchaouen,,
84,Mosquee espagnole,religieux,"Mosquee perchee sur une colline offrant une vue panoramique sur la ville bleue, notamment au coucher du soleil.",35.167,-5.258,4.4,Chefchaouen,Chefchaouen,,
85,Medina d'Asilah,monument,"Petite medina fortifiee aux remparts portugais, connue pour ses ruelles blanches immaculees.",35.465,-6.035,4.4,Asilah,Asilah,,
86,Fresques murales d'Asilah,art,Peintures murales colorees realisees par des artistes du monde entier sur les murs de la medina.,35.4655,-6.0345,4.5,Asilah,Asilah,,
87,Festival Culturel International d'Asilah,evenementiel,"Festival d'art et de culture organise chaque ete, melant peinture murale, musique et debats intellectuels.",35.465,-6.035,,Asilah,Asilah,,
88,Plage d'Asilah,plage,"Plage calme de sable fin en contrebas des remparts de la medina, appreciee pour la baignade en famille.",35.46,-6.04,4.0,Asilah,Asilah,,
89,Kasbah Ait Ben Haddou,monument,"Ksar fortifie en pise classe UNESCO, celebre decor de nombreux films et series internationales.",31.0472,-7.1317,4.7,Ouarzazate,Ouarzazate,,
90,Studios de cinema Atlas,art,"Plus grands studios de cinema d'Afrique, avec decors de tournage visitables retracant l'histoire du 7e art a Ouarzazate.",30.945,-6.88,4.1,Ouarzazate,Ouarzazate,,
91,Marathon des Sables,evenementiel,"Course a pied d'ultra-endurance de plusieurs jours a travers le desert du Sahara, pres d'Ouarzazate.",30.9,-6.9,,Ouarzazate,Ouarzazate,,
92,Vallee du Draa,nature,"Vallee verdoyante bordee de palmeraies et de kasbahs en pise, entre Ouarzazate et le desert.",30.7,-6.4,4.4,Ouarzazate,Ouarzazate,,
93,Parc National d'Ifrane,nature,"Foret de cedres et de chenes verts abritant des singes magots, dans une region au climat montagnard.",33.55,-5.12,4.5,Ifrane,Ifrane,,
94,Dayet Aoua,nature,"Lac naturel entoure de collines boisees, prise pour la randonnee et l'observation des oiseaux migrateurs.",33.61,-5.17,4.2,Ifrane,Ifrane,,
95,Statue du Lion d'Ifrane,monument,"Sculpture sur pierre representant un lion de l'Atlas, symbole de la ville et point de repere populaire.",33.5228,-5.1106,4.0,Ifrane,Ifrane,,
